des,price_Brunei,des,price_Cambodia,des,price_Indonesia,des,price_Laos,des,price_Malaysia,des,price_Myanmar,des,price_Philippines,des,price_Singapore,des,price_Vietnam,des,price_Thailand
"Cinema, International Release, 1 Seat",168.27 ฿,"Cinema, International Release, 1 Seat",161.97 ฿,"Cinema, International Release, 1 Seat",112.84 ฿,"Cinema, International Release, 1 Seat",178.14 ฿,"Cinema, International Release, 1 Seat",116.08 ฿,"Cinema, International Release, 1 Seat",129.58 ฿,"Cinema, International Release, 1 Seat",157.54 ฿,"Cinema, International Release, 1 Seat",312.50 ฿,"Cinema, International Release, 1 Seat",127.87 ฿,"Cinema, International Release, 1 Seat",200.00 ฿
Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit,Childcare,Edit
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","7,520.78 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,849.54 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,212.93 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,239.40 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","5,349.30 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","13,799.85 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,115.33 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","30,964.29 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","5,333.36 ฿","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","11,637.57 ฿"
"International Primary School, Yearly for 1 Child","405,732.63 ฿","International Primary School, Yearly for 1 Child","228,782.75 ฿","International Primary School, Yearly for 1 Child","233,488.79 ฿","International Primary School, Yearly for 1 Child","150,973.51 ฿","International Primary School, Yearly for 1 Child","206,915.70 ฿","International Primary School, Yearly for 1 Child","287,766.86 ฿","International Primary School, Yearly for 1 Child","169,059.24 ฿","International Primary School, Yearly for 1 Child","700,786.21 ฿","International Primary School, Yearly for 1 Child","377,812.63 ฿","International Primary School, Yearly for 1 Child","392,525.81 ฿"
Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit,Clothing And Shoes,Edit
1 Pair of Jeans (Levis 501 Or Similar),"2,095.29 ฿",1 Pair of Jeans (Levis 501 Or Similar),879.62 ฿,1 Pair of Jeans (Levis 501 Or Similar),"1,264.39 ฿",1 Pair of Jeans (Levis 501 Or Similar),"2,875.20 ฿",1 Pair of Jeans (Levis 501 Or Similar),"1,656.65 ฿",1 Pair of Jeans (Levis 501 Or Similar),"1,506.95 ฿",1 Pair of Jeans (Levis 501 Or Similar),"1,340.03 ฿",1 Pair of Jeans (Levis 501 Or Similar),"2,178.16 ฿",1 Pair of Jeans (Levis 501 Or Similar),"1,302.10 ฿",1 Pair of Jeans (Levis 501 Or Similar),"1,769.38 ฿"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,082.43 ฿","1 Summer Dress in a Chain Store (Zara, H&M, ...)",598.04 ฿,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",903.90 ฿,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,640.11 ฿","1 Summer Dress in a Chain Store (Zara, H&M, ...)",819.28 ฿,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,280.07 ฿","1 Summer Dress in a Chain Store (Zara, H&M, ...)",833.31 ฿,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,183.54 ฿","1 Summer Dress in a Chain Store (Zara, H&M, ...)",965.08 ฿,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",951.20 ฿
1 Pair of Nike Running Shoes (Mid-Range),"2,826.90 ฿",1 Pair of Nike Running Shoes (Mid-Range),"1,961.86 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,126.14 ฿",1 Pair of Nike Running Shoes (Mid-Range),"3,547.08 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,069.62 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,827.69 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,448.29 ฿",1 Pair of Nike Running Shoes (Mid-Range),"3,133.76 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,967.74 ฿",1 Pair of Nike Running Shoes (Mid-Range),"2,885.33 ฿"
1 Pair of Men Leather Business Shoes,"2,131.81 ฿",1 Pair of Men Leather Business Shoes,"1,480.87 ฿",1 Pair of Men Leather Business Shoes,"2,058.15 ฿",1 Pair of Men Leather Business Shoes,"1,450.74 ฿",1 Pair of Men Leather Business Shoes,"1,887.21 ฿",1 Pair of Men Leather Business Shoes,"2,962.04 ฿",1 Pair of Men Leather Business Shoes,"2,001.22 ฿",1 Pair of Men Leather Business Shoes,"3,300.75 ฿",1 Pair of Men Leather Business Shoes,"2,785.22 ฿",1 Pair of Men Leather Business Shoes,"2,554.81 ฿"
Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit,Rent Per Month,Edit
